NAICS,Description of NAICS,Set-Aside
332913,Plumbing Fixture Fitting and Trim Manufacturing,WOSB
332919,Other Metal Valve and Pipe Fitting Manufacturing,WOSB
332991,Ball and Roller Bearing Manufacturing,WOSB
332992,Small Arms Ammunition Manufacturing,WOSB
332993,Ammunition (except Small Arms) Manufacturing,WOSB
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",WOSB
332996,Fabricated Pipe and Pipe Fitting Manufacturing,WOSB
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,WOSB
333111,Farm Machinery and Equipment Manufacturing,WOSB
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,WOSB
333120,Construction Machinery Manufacturing,WOSB
333131,Mining Machinery and Equipment Manufacturing,WOSB
333132,Oil and Gas Field Machinery and Equipment Manufacturing,WOSB
333241,Food Product Machinery Manufacturing,EDWOSB
333242,Semiconductor Machinery Manufacturing,EDWOSB
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",EDWOSB
333244,Printing Machinery and Equipment Manufacturing,EDWOSB
333249,Other Industrial Machinery Manufacturing,EDWOSB
333314,Optical Instrument and Lens Manufacturing,WOSB
333316,Photographic and Photocopying Equipment Manufacturing,WOSB
333318,Other Commercial and Service Industry Machinery Manufacturing,WOSB
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,WOSB
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,WOSB
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,WOSB
333511,Industrial Mold Manufacturing,WOSB
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",WOSB
333515,Cutting Tool and Machine Tool Accessory Manufacturing,WOSB
333517,Machine Tool Manufacturing,WOSB
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,WOSB
333611,Turbine and Turbine Generator Set Units Manufacturing,WOSB
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",WOSB
333613,Mechanical Power Transmission Equipment Manufacturing,WOSB
333618,Other Engine Equipment Manufacturing,WOSB
333912,Air and Gas Compressor Manufacturing,WOSB
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",WOSB
333921,Elevator and Moving Stairway Manufacturing,WOSB
333922,Conveyor and Conveying Equipment Manufacturing,WOSB
